Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
LEC,31.0,0 days 00:01:32.013000,2.0,HARD,10.0,,,0 days 00:00:32.271000,0 days 00:00:41.809000,0 days 00:00:17.933000,283.0,300.0,266.0,299.0
LEC,32.0,0 days 00:01:32.025000,2.0,HARD,11.0,,,0 days 00:00:32.302000,0 days 00:00:41.781000,0 days 00:00:17.942000,282.0,301.0,266.0,295.0
LEC,33.0,0 days 00:01:31.772000,2.0,HARD,12.0,,,0 days 00:00:32.183000,0 days 00:00:41.682000,0 days 00:00:17.907000,285.0,300.0,267.0,298.0
LEC,34.0,0 days 00:01:32.134000,2.0,HARD,13.0,,,0 days 00:00:32.195000,0 days 00:00:41.836000,0 days 00:00:18.103000,280.0,300.0,266.0,295.0
LEC,35.0,0 days 00:01:31.957000,2.0,HARD,14.0,,,0 days 00:00:32.139000,0 days 00:00:41.830000,0 days 00:00:17.988000,283.0,300.0,266.0,298.0
LEC,36.0,0 days 00:01:31.905000,2.0,HARD,15.0,,,0 days 00:00:32.193000,0 days 00:00:41.802000,0 days 00:00:17.910000,,300.0,266.0,299.0
LEC,37.0,0 days 00:01:32.137000,2.0,HARD,16.0,,,0 days 00:00:32.197000,0 days 00:00:41.947000,0 days 00:00:17.993000,281.0,300.0,267.0,295.0
LEC,38.0,0 days 00:01:31.819000,2.0,HARD,17.0,,,0 days 00:00:32.093000,0 days 00:00:41.816000,0 days 00:00:17.910000,283.0,301.0,267.0,299.0
LEC,39.0,0 days 00:01:32.222000,2.0,HARD,18.0,,,0 days 00:00:32.257000,0 days 00:00:41.987000,0 days 00:00:17.978000,280.0,300.0,267.0,296.0
LEC,40.0,0 days 00:01:31.813000,2.0,HARD,19.0,,,0 days 00:00:32.055000,0 days 00:00:41.819000,0 days 00:00:17.939000,284.0,300.0,267.0,301.0
LEC,41.0,0 days 00:01:31.900000,2.0,HARD,20.0,,,0 days 00:00:31.938000,0 days 00:00:41.925000,0 days 00:00:18.037000,283.0,301.0,268.0,298.0
LEC,42.0,0 days 00:01:31.961000,2.0,HARD,21.0,,,0 days 00:00:32.054000,0 days 00:00:41.969000,0 days 00:00:17.938000,,300.0,268.0,298.0
LEC,43.0,0 days 00:01:31.940000,2.0,HARD,22.0,,,0 days 00:00:32.001000,0 days 00:00:41.951000,0 days 00:00:17.988000,284.0,300.0,267.0,299.0
LEC,44.0,0 days 00:01:31.838000,2.0,HARD,23.0,,,0 days 00:00:31.928000,0 days 00:00:41.990000,0 days 00:00:17.920000,,301.0,268.0,297.0
LEC,45.0,0 days 00:01:31.661000,2.0,HARD,24.0,,,0 days 00:00:31.925000,0 days 00:00:41.815000,0 days 00:00:17.921000,,301.0,268.0,298.0
