Driver,LapNumber,LapTime,Stint,Compound,TyreLife,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
LEC,62.0,0 days 00:01:21.003000,3.0,HARD,33.0,,,0 days 00:00:25.720000,0 days 00:00:28.452000,0 days 00:00:26.831000,215.0,255.0,277.0,286.0
LEC,63.0,0 days 00:01:21.576000,3.0,HARD,34.0,,,0 days 00:00:25.910000,0 days 00:00:28.413000,0 days 00:00:27.253000,218.0,253.0,278.0,287.0
HAM,1.0,0 days 00:01:29.981000,1.0,HARD,1.0,,,,0 days 00:00:29.791000,0 days 00:00:27.819000,208.0,253.0,274.0,284.0
HAM,2.0,0 days 00:01:23.062000,1.0,HARD,2.0,,,0 days 00:00:26.715000,0 days 00:00:28.983000,0 days 00:00:27.364000,214.0,252.0,280.0,289.0
HAM,3.0,0 days 00:01:22.080000,1.0,HARD,3.0,,,0 days 00:00:26.042000,0 days 00:00:28.655000,0 days 00:00:27.383000,211.0,252.0,276.0,288.0
HAM,4.0,0 days 00:01:21.230000,1.0,HARD,4.0,,,0 days 00:00:25.664000,0 days 00:00:28.489000,0 days 00:00:27.077000,213.0,253.0,278.0,291.0
HAM,5.0,0 days 00:01:21.439000,1.0,HARD,5.0,,,0 days 00:00:25.546000,0 days 00:00:28.574000,0 days 00:00:27.319000,218.0,257.0,280.0,288.0
HAM,6.0,0 days 00:01:21.649000,1.0,HARD,6.0,,,0 days 00:00:25.619000,0 days 00:00:28.675000,0 days 00:00:27.355000,215.0,255.0,280.0,290.0
HAM,7.0,0 days 00:01:21.950000,1.0,HARD,7.0,,,0 days 00:00:25.712000,0 days 00:00:28.681000,0 days 00:00:27.557000,216.0,254.0,278.0,290.0
HAM,8.0,0 days 00:01:22.418000,1.0,HARD,8.0,,,0 days 00:00:26.102000,0 days 00:00:28.751000,0 days 00:00:27.565000,212.0,256.0,280.0,284.0
HAM,9.0,0 days 00:01:21.908000,1.0,HARD,9.0,,,0 days 00:00:25.791000,0 days 00:00:28.703000,0 days 00:00:27.414000,211.0,253.0,277.0,290.0
HAM,10.0,0 days 00:01:22.050000,1.0,HARD,10.0,,,0 days 00:00:25.704000,0 days 00:00:28.739000,0 days 00:00:27.607000,215.0,254.0,277.0,288.0
HAM,11.0,0 days 00:01:22.551000,1.0,HARD,11.0,,,0 days 00:00:25.610000,0 days 00:00:29.069000,0 days 00:00:27.872000,212.0,253.0,276.0,287.0
HAM,12.0,0 days 00:01:23.117000,1.0,HARD,12.0,,,0 days 00:00:26.130000,0 days 00:00:29.185000,0 days 00:00:27.802000,,252.0,276.0,290.0
HAM,13.0,0 days 00:01:22.655000,1.0,HARD,13.0,,,0 days 00:00:25.980000,0 days 00:00:28.973000,0 days 00:00:27.702000,,254.0,277.0,291.0
HAM,14.0,0 days 00:01:22.611000,1.0,HARD,14.0,,,0 days 00:00:25.903000,0 days 00:00:29.028000,0 days 00:00:27.680000,216.0,254.0,276.0,294.0
HAM,15.0,0 days 00:01:22.191000,1.0,HARD,15.0,,,0 days 00:00:25.674000,0 days 00:00:28.973000,0 days 00:00:27.544000,212.0,254.0,277.0,292.0
HAM,16.0,0 days 00:01:22.555000,1.0,HARD,16.0,,,0 days 00:00:26.098000,0 days 00:00:28.985000,0 days 00:00:27.472000,214.0,251.0,278.0,291.0
HAM,17.0,0 days 00:01:22.220000,1.0,HARD,17.0,,,0 days 00:00:25.820000,0 days 00:00:28.758000,0 days 00:00:27.642000,213.0,255.0,277.0,291.0
